judet,an,ocupati_aff_eurostat_mii,ocupati_total_eurostat_mii,ocupati_aff_eurostat_nr,ocupati_total_eurostat_nr,pondere_ocupati_aff_eurostat,schimbare_pondere_ocupati_aff_eurostat,schimbare_ocupati_aff_eurostat_pct
Constanta,2020,41.15,282.72,41150.0,282720.0,14.555036785512165,-0.1992856364108846,-4.70125057897175
Constanta,2021,48.74,292.12,48740.0,292120.0,16.68492400383404,2.129887218321876,18.444714459295252
Constanta,2022,47.0,286.45,47000.0,286450.0,16.407750043637634,-0.27717396019640717,-3.5699630693475592
Covasna,2012,12.95,71.38,12950.0,71380.0,18.14233678901653,,
Covasna,2013,13.31,71.85,13310.0,71850.0,18.52470424495477,0.3823674559382404,2.7799227799227832
Covasna,2014,16.27,74.77,16270.0,74770.0,21.760064196870406,3.235359951915637,22.2389181066867
Covasna,2015,13.83,76.43,13830.0,76430.0,18.094988878712545,-3.665075318157861,-14.996926859250149
Covasna,2016,12.71,74.39,12710.0,74390.0,17.08562978895013,-1.009359089762416,-8.098336948662332
Covasna,2017,13.54,75.85,13540.0,75850.0,17.851021753460778,0.7653919645106484,6.530291109362696
Covasna,2018,11.46,72.85,11460.0,72850.0,15.730954015099522,-2.1200677383612554,-15.361890694239289
Covasna,2019,10.92,72.68,10920.0,72680.0,15.024766097963674,-0.706187917135848,-4.712041884816753
Covasna,2020,11.82,72.53,11820.0,72530.0,16.296704811802012,1.2719387138383382,8.241758241758234
Covasna,2021,20.64,83.01,20640.0,83010.0,24.86447415973979,8.567769347937777,74.61928934010152
Covasna,2022,19.87,81.64,19870.0,81640.0,24.338559529642335,-0.5259146300974535,-3.730620155038755
Dambovita,2012,35.19,143.02,35190.0,143020.0,24.60495035659348,,
Dambovita,2013,32.77,140.19,32770.0,140190.0,23.375419074113704,-1.2295312824797762,-6.876953680022735
Dambovita,2014,33.26,145.22,33260.0,145220.0,22.90318137997521,-0.4722376941384958,1.4952700640830097
Dambovita,2015,28.64,138.42,28640.0,138420.0,20.690651639936426,-2.2125297400387822,-13.890559230306676
Dambovita,2016,24.19,137.54,24190.0,137540.0,17.587610876835832,-3.1030407631005943,-15.53770949720671
Dambovita,2017,24.96,147.1,24960.0,147100.0,16.96804894629504,-0.6195619305407938,3.1831335262505256
Dambovita,2018,27.85,149.01,27850.0,149010.0,18.69002080397289,1.7219718576778504,11.578525641025639
Dambovita,2019,28.0,151.04,28000.0,151040.0,18.53813559322034,-0.15188521075254968,0.538599640933568
Dambovita,2020,23.29,143.9,23290.0,143900.0,16.184850590687976,-2.3532850025323633,-16.821428571428577
Dambovita,2021,20.25,145.26,20250.0,145260.0,13.940520446096654,-2.2443301445913217,-13.052812365822241
Dambovita,2022,18.32,140.1,18320.0,140100.0,13.076374018558173,-0.8641464275384809,-9.530864197530864
Dolj,2012,148.03,296.15,148030.0,296150.0,49.9848049974675,,
Dolj,2013,123.1,272.85,123100.0,272850.0,45.11636430273043,-4.8684406947370675,-16.841180841721272
Dolj,2014,135.59,291.73,135590.0,291730.0,46.47790765433791,1.3615433516074802,10.14622258326563
Dolj,2015,120.59,268.62,120590.0,268620.0,44.89241307423126,-1.585494580106655,-11.062762740615085
Dolj,2016,96.95,252.32,96950.0,252320.0,38.42343056436272,-6.468982509868539,-19.60361555684551
Dolj,2017,98.76,271.47,98760.0,271470.0,36.37971046524478,-2.043720099117941,1.8669417225373852
Dolj,2018,108.53,280.78,108530.0,280780.0,38.653037965667075,2.2733275004222975,9.892669096800333
Dolj,2019,94.17,275.83,94170.0,275830.0,34.14059384403437,-4.512444121632704,-13.231364599649865
Dolj,2020,91.24,273.95,91240.0,273950.0,33.30534769118452,-0.835246152849848,-3.111394286927893
Dolj,2021,78.37,256.15,78370.0,256149.99999999997,30.595354284598876,-2.709993406585646,-14.105655414291974
Dolj,2022,86.26,264.86,86260.0,264860.0,32.568149210903876,1.9727949263049993,10.067627918846501
Galati,2012,28.73,167.59,28730.0,167590.0,17.143027626946715,,
Galati,2013,29.54,167.76,29540.0,167760.0,17.608488316642823,0.46546068969610843,2.8193525931082597
Galati,2014,24.76,163.29,24760.0,163290.0,15.163206565007044,-2.445281751635779,-16.181448882870686
Galati,2015,26.39,175.53,26390.0,175530.0,15.034467042670768,-0.12873952233627683,6.583198707592897
Galati,2016,21.8,176.55,21800.0,176550.0,12.347776833758143,-2.6866902089126246,-17.392951875710494
Galati,2017,21.97,175.36,21970.0,175360.0,12.528512773722625,0.18073593996448167,0.7798165137614665
Galati,2018,21.11,175.39,21110.0,175390.0,12.036033981412853,-0.49247879230977176,-3.914428766499778
Galati,2019,21.49,179.74,21490.0,179740.0,11.956158896183375,-0.07987508522947806,1.8000947418285174
Galati,2020,21.61,175.43,21610.0,175430.0,12.318303596876245,0.36214470069286975,0.5583992554676565
Galati,2021,25.37,175.9,25370.0,175900.0,14.42296759522456,2.1046639983483146,17.39935215178159
Galati,2022,23.48,172.63,23480.0,172630.0,13.60134391473093,-0.8216236804936301,-7.44974379188017
Giurgiu,2012,46.02,90.13,46020.0,90130.0,51.059580605791645,,
Giurgiu,2013,46.39,91.35,46390.0,91350.0,50.78270388615217,-0.2768767196394748,0.8039982616253827
Giurgiu,2014,45.07,94.02,45070.0,94020.0,47.93660923207828,-2.8460946540738874,-2.8454408277646004
Giurgiu,2015,34.36,83.31,34360.0,83310.0,41.24354819349418,-6.693061038584105,-23.763035278455735
Giurgiu,2016,30.58,81.47,30580.0,81470.0,37.53528906345894,-3.7082591300352377,-11.001164144353904
Giurgiu,2017,29.27,84.48,29270.0,84480.0,34.64725378787878,-2.888035275580158,-4.283845650752127
Giurgiu,2018,32.71,86.32,32710.0,86320.0,37.89388322520853,3.2466294373297515,11.752647762213876
Giurgiu,2019,30.91,83.28,30910.0,83280.0,37.115754082612874,-0.7781291425956596,-5.502904310608381
Giurgiu,2020,27.26,79.3,27260.0,79300.0,34.37578814627995,-2.739965936332922,-11.808476221287611
Giurgiu,2021,21.44,73.86,21440.0,73860.0,29.027890603845112,-5.34789754243484,-21.349963316214236
Giurgiu,2022,19.89,73.27,19890.0,73270.0,27.1461716937355,-1.881718910109612,-7.229477611940293
Gorj,2012,59.82,155.73,59820.0,155730.0,38.412637256790596,,
Gorj,2013,60.75,156.99,60750.0,156990.0,38.696732275941145,0.28409501915054847,1.5546639919759242
Gorj,2014,48.64,142.07,48640.0,142070.0,34.23664390793271,-4.460088368008435,-19.93415637860082
Gorj,2015,40.91,134.6,40910.0,134600.0,30.39375928677563,-3.8428846211570793,-15.892269736842103
Gorj,2016,41.74,139.39,41740.0,139390.0,29.944759308415243,-0.4489999783603871,2.0288438034710365
Gorj,2017,44.39,150.6,44390.0,150600.0,29.475431606905712,-0.4693277015095312,6.348826066123614
Gorj,2018,42.96,148.13,42960.0,148130.0,29.00155269020455,-0.47387891670116034,-3.221446271682815
Gorj,2019,43.34,147.5,43340.0,147500.0,29.383050847457632,0.38149815725308045,0.8845437616387342
Gorj,2020,40.26,146.22,40260.0,146220.0,27.533853098071397,-1.849197749386235,-7.106598984771573
Gorj,2021,38.53,144.46,38530.0,144460.0,26.6717430430569,-0.8621100550144973,-4.297069051167412
Gorj,2022,36.87,145.27,36870.0,145270.0,25.380326288979138,-1.291416754077762,-4.308331170516477
Harghita,2012,16.17,98.02,16170.000000000002,98020.0,16.49663334013467,,
Harghita,2013,17.53,96.95,17530.0,96950.0,18.081485301701907,1.5848519615672352,8.410636982065544
Harghita,2014,17.37,94.9,17370.0,94900.0,18.303477344573235,0.221992042871328,-0.912721049629206
Harghita,2015,12.89,92.57,12890.0,92570.0,13.924597601814845,-4.378879742758389,-25.791594703511798
Harghita,2016,11.62,94.64,11620.0,94640.0,12.278106508875739,-1.6464910929391063,-9.852598913886734
Harghita,2017,12.12,97.24,12120.0,97240.0,12.46400658165364,0.18590007277790122,4.302925989672968
Harghita,2018,12.81,95.62,12810.0,95620.0,13.396778916544655,0.9327723348910144,5.693069306930698
Harghita,2019,12.08,97.21,12080.0,97210.0,12.426705071494704,-0.9700738450499511,-5.698672911787661
Harghita,2020,11.55,94.77,11550.0,94770.0,12.187401076289966,-0.23930399520473777,-4.387417218543044
Harghita,2021,19.42,102.46,19420.0,102460.0,18.95373804411478,6.766336967824813,68.13852813852814
Harghita,2022,21.35,107.96,21350.0,107960.0,19.77584290477955,0.8221048606647727,9.938208032955709
Hunedoara,2012,27.53,168.71,27530.0,168710.0,16.317942030703573,,
Hunedoara,2013,27.83,163.05,27830.0,163050.0,17.068383931309413,0.7504419006058392,1.0897203051216886
Hunedoara,2014,31.67,167.27,31670.0,167270.0,18.933460871644648,1.8650769403352356,13.798059647862026
Hunedoara,2015,15.85,156.45,15850.0,156450.0,10.131032278683286,-8.802428592961363,-49.95263656457215
Hunedoara,2016,12.22,150.56,12220.0,150560.0,8.116365568544103,-2.014666710139183,-22.902208201892748
Hunedoara,2017,11.68,146.67,11680.0,146670.0,7.963455376014182,-0.15291019252992033,-4.418985270049102
Hunedoara,2018,9.92,145.62,9920.0,145620.0,6.812251064414229,-1.1512043115999528,-15.068493150684937
Hunedoara,2019,9.99,144.1,9990.0,144100.0,6.932685634975712,0.12043457056148288,0.7056451612903247
Hunedoara,2020,10.26,144.56,10260.0,144560.0,7.097399003873823,0.16471336889811106,2.7027027027026973
Hunedoara,2021,13.56,142.43,13560.0,142430.0,9.52046619391982,2.4230671900459964,32.163742690058484
Hunedoara,2022,11.08,138.97,11080.0,138970.0,7.972943800820322,-1.5475223930994977,-18.289085545722717
Ialomita,2012,105.42,166.66,105420.0,166660.0,63.254530181207244,,
Ialomita,2013,98.6,159.61,98600.0,159610.0,61.775577971305054,-1.4789522099021895,-6.4693606526275875
Ialomita,2014,101.1,160.2,101100.0,160200.0,63.10861423220974,1.3330362609046844,2.535496957403649
Ialomita,2015,84.58,145.68,84580.0,145680.0,58.05875892366831,-5.0498553085414315,-16.3402571711177
Ialomita,2016,75.1,137.89,75100.0,137890.0,54.463702951628115,-3.5950559720401927,-11.2083234807283
Ialomita,2017,69.3,136.3,69300.0,136300.0,50.8437270726339,-3.619975878994218,-7.723035952063917
Ialomita,2018,73.93,136.78,73930.0,136780.0,54.050299751425655,3.2065726787917583,6.681096681096688
Ialomita,2019,67.79,131.57,67790.0,131570.0,51.52390362544654,-2.5263961259791117,-8.305153523603403
Ialomita,2020,62.87,126.92,62870.0,126920.0,49.53514024582414,-1.9887633796224051,-7.257707626493581
Ialomita,2021,47.1,110.52,47100.0,110520.0,42.616720955483174,-6.918419290340964,-25.08350564657229
Ialomita,2022,47.99,110.96,47990.0,110960.0,43.24981975486663,0.633098799383454,1.8895966029724098
Iasi,2012,154.31,357.61,154310.0,357610.0,43.15035932999636,,
Iasi,2013,172.93,374.86,172930.0,374860.0,46.131889238649094,2.981529908652732,12.066619143282997
Iasi,2014,163.88,372.26,163880.0,372260.0,44.02299468113684,-2.108894557512258,-5.233331405771125
Iasi,2015,175.44,383.76,175440.0,383760.0,45.71607254534084,1.6930778642040067,7.05394190871369
Iasi,2016,168.03,386.07,168030.0,386070.0,43.52319527546818,-2.1928772698726604,-4.223666210670318
Iasi,2017,153.67,385.16,153670.0,385160.0,39.897704849932495,-3.6254904255356877,-8.546092959590545
Iasi,2018,162.76,397.06,162760.0,397060.0,40.991285951745326,1.0935811018128305,5.915272987570774
Iasi,2019,154.45,398.95,154450.0,398950.0,38.714124577014665,-2.2771613747306603,-5.105677070533298
Iasi,2020,146.24,386.89,146240.0,386890.0,37.798857556411384,-0.9152670206032809,-5.315636128196832
Iasi,2021,130.75,382.64,130750.0,382640.0,34.17049968638929,-3.628357870022093,-10.5921772428884
Iasi,2022,135.55,396.7,135550.0,396700.0,34.16939752961936,-0.0011021567699316392,3.6711281070745727
Ilfov,2012,13.69,138.03,13690.0,138030.0,9.918133739042236,,
Ilfov,2013,7.46,129.03,7460.0,129030.0,5.781601178020615,-4.136532561021621,-45.50766983199416
Ilfov,2014,9.18,138.01,9180.0,138010.0,6.651691906383596,0.8700907283629808,23.056300268096507
Ilfov,2015,9.85,143.98,9850.0,143980.0,6.841227948326156,0.18953604194256002,7.298474945533773
Ilfov,2016,6.23,150.31,6230.0,150310.0,4.144767480540217,-2.696460467785939,-36.751269035533
Ilfov,2017,4.75,153.25,4750.0,153250.0,3.0995106035889073,-1.04525687695131,-23.756019261637242
Ilfov,2018,4.39,160.78,4390.0,160780.0,2.7304391093419578,-0.3690714942469495,-7.578947368421051
Ilfov,2019,4.53,163.66,4530.0,163660.0,2.7679335207136746,0.03749441137171683,3.1890660592255093
Ilfov,2020,5.67,169.19,5670.0,169190.0,3.3512618949110466,0.583328374197372,25.16556291390728
Ilfov,2021,8.04,180.59,8039.999999999999,180590.0,4.45207375823689,1.100811863325843,41.79894179894179
Ilfov,2022,7.43,190.15,7430.0,190150.0,3.9074414935577173,-0.5446322646791724,-7.587064676616906
Maramures,2012,55.78,182.03,55780.0,182030.0,30.643300554853596,,
Maramures,2013,51.49,179.28,51490.0,179280.0,28.720437304774656,-1.9228632500789402,-7.69092864826103
Maramures,2014,46.31,179.0,46310.0,179000.0,25.87150837988827,-2.848928924886387,-10.060205865216542
Maramures,2015,31.51,169.65,31510.0,169650.0,18.57353374594754,-7.297974633940729,-31.95854027207946
Maramures,2016,29.63,167.44,29630.0,167440.0,17.69589106545628,-0.8776426804912596,-5.966359885750561
Maramures,2017,32.09,174.39,32090.000000000004,174390.0,18.40128447732095,0.7053934118646694,8.302396220047271
Maramures,2018,30.67,174.83,30670.0,174830.0,17.54275581993937,-0.85852865738158,-4.425054534122785
Maramures,2019,30.15,177.44,30150.0,177440.0,16.99165915238954,-0.5510966675498281,-1.695467883925661
Maramures,2020,29.28,174.12,29280.0,174120.0,16.815988973121986,-0.17567017926755568,-2.8855721393034828
Maramures,2021,31.74,181.43,31740.0,181430.0,17.494350438185524,0.6783614650635386,8.401639344262302
Maramures,2022,30.59,181.55,30590.0,181550.0,16.849352795373175,-0.6449976428123492,-3.6231884057971064
Mehedinti,2012,67.85,124.07,67850.0,124070.0,54.686870315144674,,
Mehedinti,2013,61.58,114.88,61580.0,114880.0,53.60376044568245,-1.083109869462227,-9.240972733971997
Mehedinti,2014,61.79,117.63,61790.0,117630.0,52.52911672192469,-1.0746437237577595,0.34101981162715234
Mehedinti,2015,50.25,103.14,50250.0,103140.0,48.72018615474113,-3.808930567183559,-18.676161191131246
Mehedinti,2016,42.62,98.78,42620.0,98780.0,43.14638590807856,-5.573800246662572,-15.184079601990053
Mehedinti,2017,48.7,109.36,48700.0,109360.0,44.53182150694953,1.38543559887097,14.265603003284832
Mehedinti,2018,48.24,106.95,48240.0,106950.0,45.10518934081347,0.5733678338639407,-0.944558521560579
Mehedinti,2019,42.26,104.46,42260.0,104460.0,40.45567681409152,-4.649512526721949,-12.396351575456055
Mehedinti,2020,38.94,100.13,38940.0,100130.0,38.88944372315989,-1.5662330909316253,-7.856128726928535
Mehedinti,2021,31.93,92.85,31930.0,92850.0,34.388799138395264,-4.500644584764629,-18.00205444273241
Mehedinti,2022,34.87,95.82,34870.0,95820.0,36.39115007305364,2.0023509346583737,9.207641716254301
Mures,2012,19.96,174.75,19960.0,174750.0,11.42203147353362,,
Mures,2013,21.59,177.38,21590.0,177380.0,12.171608975081746,0.7495775015481261,8.166332665330668
Mures,2014,23.0,179.13,23000.0,179130.0,12.839836989895606,0.6682280148138595,6.5308012968967155
Mures,2015,18.07,181.45,18070.0,181450.0,9.958666299255995,-2.8811706906396104,-21.434782608695656
Mures,2016,15.37,179.36,15370.0,179360.0,8.569357716324708,-1.389308582931287,-14.941892639734366
